,,brown,Lumber Yard,T,,,1,2,2,2,2
,,brown,Stone Pit,S,,,1,1,2,2,2
,,brown,Clay Pool,C,,,1,1,2,2,2
,,brown,Ore Vein,O,,,1,2,2,2,2
,1,brown,Tree Farm,T/C,,,0,0,0,1,1
,1,brown,Excavation,S/C,,,0,1,1,1,1
,1,brown,Clay Pit,C/O,,,1,1,1,1,1
,1,brown,Timber Yard,S/T,,,1,1,1,1,1
,1,brown,Forest Cave,T/O,,,0,0,1,1,1
,1,brown,Mine,O/S,,,0,0,0,1,1
,,grey,Loom,L,,,1,1,1,2,2
,,grey,Glassworks,G,,,1,1,1,2,2
,,grey,Press,P,,,1,1,1,2,2
,,blue,Pawnshop,3,,,0,1,1,1,2
,S,blue,Baths,3,Aquaduct,,1,1,1,1,2
,,blue,Altar,2,Temple,,1,1,2,2,2
,,blue,Theater,2,Statue,,1,1,1,2,2
,,yellow,Tavern,5,,,0,1,2,2,3
,,yellow,East Trading Post,> CSOW,Forum,,1,1,1,1,2
,,yellow,West Trading Post,< CSOW,Forum,,1,1,1,1,2
,,yellow,Marketplace,<> LGP,Caravansery,,1,1,1,2,2
,T,red,Stockade,1,,,1,1,1,1,2
,O,red,Barracks,1,,,1,1,2,2,2
,C,red,Guard Tower,1,,,1,2,2,2,2
,L,green,Apothecary,1,Stables,Dispensary,1,1,2,2,2
 ,G,green,Workshop,2,Archery Range,Laboratory,1,1,1,1,2
 ,P,green,Scriptorium,3,Courthouse,Library,1,2,2,2,2
